Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIM.SE901306,2011.01,989.6743447,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2011.02,972.99444,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2011.03,961.0802224,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2011.04,966.6401906,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2011.05,961.8745036,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2011.06,959.49166,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2011.07,965.051628,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2011.08,979.348689,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2011.09,969.023034,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2011.1,978.554408,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
